Date,BTC,ETH,BNB,XRP,ADA,CRIX
2020-04-10,6865.493164,158.412445,13.737724,0.187464,0.033215,525.87
2020-04-11,6859.083008,158.216019,13.804288,0.188063,0.033354,522.1600000000001
2020-04-12,6971.091797,161.142426,14.375111,0.190135,0.033806,520.3050000000001
2020-04-13,6845.037598,156.279556,15.034427,0.187732,0.033107,518.45
2020-04-14,6842.427734,157.59639,15.525076,0.185335,0.032974,528.2
2020-04-15,6642.109863,153.286896,14.593927,0.18127,0.031863,513.46
2020-04-16,7116.804199,172.157379,15.70273,0.190104,0.034408,536.88
2020-04-17,7096.18457,171.63858,15.735083,0.190202,0.034573,542.9
2020-04-18,7257.665039,186.914001,16.593172,0.194925,0.036553,531.595
2020-04-19,7189.424805,181.61496,16.139933,0.190859,0.035816,525.9425
2020-04-20,6881.958496,172.297165,15.085403,0.18349,0.034177,520.29
2020-04-21,6880.323242,172.737701,15.205772,0.184328,0.0347,529.34
2020-04-22,7117.20752,182.599579,15.69316,0.18797,0.036559,547.41
2020-04-23,7429.724609,185.028671,16.006208,0.191711,0.040605,578.95
2020-04-24,7550.900879,189.236938,16.016418,0.193665,0.041868,578.51
2020-04-25,7569.936035,195.515305,16.305418,0.195054,0.042408,584.52
2020-04-26,7679.867188,197.317535,16.383768,0.196805,0.045879,587.525
2020-04-27,7795.601074,197.224716,16.463215,0.197978,0.046601,590.53
2020-04-28,7807.058594,198.41539,16.444286,0.215484,0.047195,593.67
2020-04-29,8801.038086,216.968231,17.493774,0.227432,0.051695,666.69
2020-04-30,8658.553711,207.602051,17.033976,0.212761,0.047846,667.17
2020-05-01,8864.766602,214.219101,17.564993,0.219248,0.05126,661.02
2020-05-02,8988.59668,215.325378,17.584904,0.223914,0.051014,663.185
2020-05-03,8897.46875,210.933151,17.126299,0.219414,0.048929,664.2674999999999
2020-05-04,8912.654297,208.174011,17.100756,0.218963,0.049664,665.35
2020-05-05,9003.070313,206.774399,16.919775,0.216463,0.049358,668.87
2020-05-06,9268.761719,204.055786,16.657045,0.21521,0.049767,687.83
2020-05-07,9951.518555,212.289413,17.013199,0.218917,0.051106,729.04
2020-05-08,9842.666016,212.991577,17.241476,0.219827,0.052303,734.93
2020-05-09,9593.896484,211.600128,16.935961,0.216902,0.051736,689.655
2020-05-10,8756.430664,188.599564,15.295669,0.198176,0.047677,667.0174999999999
2020-05-11,8601.795898,185.912842,15.097545,0.194064,0.048108,644.38
2020-05-12,8804.477539,189.3125,15.741054,0.197637,0.050421,651.74
2020-05-13,9269.987305,199.193283,16.138878,0.20148,0.051472,675.5
2020-05-14,9733.72168,202.949097,16.3578,0.203129,0.05089,707.24
2020-05-15,9328.197266,195.622665,15.754374,0.198911,0.050463,681.9
2020-05-16,9377.013672,200.677124,16.051781,0.200032,0.050932,698.97
2020-05-17,9670.739258,207.158691,16.314646,0.201255,0.051343,707.505
2020-05-18,9726.575195,214.525055,16.636265,0.205176,0.054252,716.04
2020-05-19,9729.038086,213.451111,17.154663,0.204028,0.056449,711.19
2020-05-20,9522.981445,210.096741,16.888025,0.201707,0.056875,702.93
2020-05-21,9081.761719,199.883606,16.122381,0.195509,0.052246,667.52
2020-05-22,9182.577148,207.169189,16.639593,0.200343,0.055833,680.27
2020-05-23,9209.287109,208.694397,16.588194,0.198856,0.055322,672.785
2020-05-24,8790.368164,202.370346,16.083439,0.195431,0.052641,669.0425
2020-05-25,8906.93457,205.319748,16.400908,0.197327,0.054011,665.3
2020-05-26,8835.052734,201.902313,16.212547,0.193975,0.05343,654.0
2020-05-27,9181.017578,208.863434,16.493284,0.197857,0.055183,678.76
2020-05-28,9525.750977,219.840424,17.05934,0.200595,0.064559,700.18
2020-05-29,9439.124023,220.675125,17.04163,0.198348,0.06466,698.35
